date,text,author,title
"[15/01/2016],[12h18]","A Agência Nacional de Saúde Suplementar (ANS) vai dar novo prazo para que a Unimed Paulistana faça a transferência de beneficiários para as operadoras de saúde Unimed Fesp, Unimed Seguros e Central Nacional Unimed. A ampliação será de 15 dias e os detalhes devem estar no Diário Oficial da União desta sexta, 15. Em novembro, a agência já havia dado dois prazos para que a transferência fosse feita, um de 15 e outro de 60 dias. Na época, 500 mil beneficiários estavam sob responsabilidade da operadora, que, por determinação da ANS de setembro, teve de transferir seus 744 mil beneficiários para outras empresas. A agência informou que foram identificados problemas administrativos e financeiros na operadora. Ainda naquele mês, a Unimed Paulistana assinou um Termo de Ajustamento de Conduta (TAC) com o Ministério Público Federal, Ministério Público Estadual, Procon-SP, ANS, Unimed do Brasil e as três operadoras que assumiram os clientes para garantir a transferência de beneficiários de planos individuais/familiares e coletivos com menos de 30 vidas, beneficiando 155,3 mil clientes. Em novembro, a medida foi ampliada para todos os contratos. Nenhum beneficiário precisa cumprir carência. Por meio da assessoria, a Unimed Paulistana informou que ainda não tem o número total de beneficiários que já foram transferidos. A operadora diz que trabalhou para evitar que os clientes deixassem de receber atendimento durante o processo. “A partir da decisão da ANS e da reação da maior parte da rede credenciada, interrompendo os atendimentos, os esforços da administração da Unimed Paulistana foram de otimizar a rede própria, fazendo frente à demanda, que foi rapidamente decrescente.” A operadora diz que pretende atuar, no futuro, como prestadora de serviços em saúde. Ela informou que, atualmente, tem uma dívida em torno de R$ 2 milhões, “em sua maior parte, de tributos”. Dos 3.500 funcionários, 3.300 foram demitidos. “Estamos trabalhando no sentido de permanecermos no mercado.” ",,ANS dará novo prazo para que Unimed Paulistana transfira clientes
"[03/04/2017],[03h00]","Ao mesmo tempo em que Bob Dylan se diverte fazendo versões de clássicos da canção americana e se esquivando da Academia Sueca, sua obra - em escrito - ganha edições ao redor do mundo, com o luxo por parte das editoras de estampar na capa o selinho: Prêmio Nobel de Literatura. No Brasil, dois livros seus agora se acrescentam ao “Crônicas - Volume Um”, que a Planeta reimprimiu ano passado. “Tarântula” (Tusquets) - o romance experimental que ele lançou no início dos anos 1970, seu único livro de prosa publicado até aqui -, e “Letras (1961-1974)” (Companhia das Letras) - a reunião de textos que, afinal, lhe rendeu a distinção máxima da literatura mundial. Os livros, coincidentemente, são traduzidos por uma dupla de irmãos de Curitiba, cujo sobrenome se tornou uma referência na tradução do inglês nos últimos anos:   e  , ambos colunistas da  . Rogério - o irmão mais novo - topou o desafio de traduzir “Tarântula”: um livro esquisito (o trecho destacado acima é o início do texto), cuja única edição brasileira era da Brasiliense, dos anos 1980, feita na época por Paulo Henriques Britto. “É um livro esquisito mais do que é difícil”, diz Rogério, que além de tradutor é jornalista da  . “Mas quando o leitor percebe que não precisa entender, tirar um sentido único daquilo, aí se sente mais à vontade e lê mais tranquilamente.” No prefácio à edição brasileira, Valter Hugo Mãe classifica a obra de “urgente exercício de vanguarda” e “exercício melódico de recuperação de algum esplendor ao jeito de Rimbaud”. Segundo Galindo, a tinta esotérica de Tarântula permite interpretações diversas, não rígidas. Caetano - o irmão mais velho, doutor em linguística e professor da UFPR - traduziu as letras do período mais brilhante do compositor - o segundo volume está previsto para o ano que vem. “Tirando casos bem pontuais, as letras se traduzem muito bem para hoje. Não foi uma questão pensar que essas letras eram velhas, datadas. A gente vive o mesmo tipo de modernidade hoje em dia, Dylan está vivo”, diz. Depois de um período imerso nas canções, ele afirma entender perfeitamente como as gerações mais novas criaram uma relação profunda com as músicas, escritas há 50 anos. Embora menos aclamado, “Tarântula” ajuda a compreender os porquês da devoção, na opinião de Rogério: “Apesar de ter essa coisa beatnik, ele tem uma marca própria e essa capacidade de sobrevivência, também”. Para ele, a nova tradução pode fazer o leitor do século 21 se aproximar mais da obra - “com todo o respeito e a bênção de Paulo Henriques Britto”. Terceiro tradutor do “Ulysses” de James Joyce no Brasil, Caetano concorda e explica: há uma temporalidade diferente entre originais e traduções. “As traduções em geral envelhecem mais rápido, com exceções.” Retraduzir o livro, portanto, não seria refazer o trabalho, mas oferecer uma nova opção.  Bob Dylan  Caetano Waldrigues Galindo  Companhia das Letras (640 págs., R$ 89,90)  Bob Dylan  Rogério Waldrigues Galindo Tusquets (136 págs., R$ 36,90) “Bob Dylan não é Chico Buarque, no qual você consegue ver perfeitamente a métrica da letra, rimas complexas, ferramentas da poesia”, compara Caetano, comentando a opção por traduzir as letras priorizando o sentido semântico, e não necessariamente a forma - “o que não quer dizer mais ou menos qualidade”. As letras de Dylan tendem a ser mais narrativas, aspecto que foi preservado na tradução. “Queríamos que as letras dissessem o que tinham pra dizer.” E o que exatamente é isso? Dylan deu raras entrevistas na carreira comentando as próprias músicas - em uma entrevista, chegou a ironizar que elas eram “about 4 or 5 minutes”. “São mais ‘tipos’ de canções”, diz Caetano. “Anedotas e crônicas; a canção surreal humorística, meio alucinada; as coisas mais evocativas. Mas o espectro dele é bem mais amplo do que as canções pop de amor comuns.” A vida urbana americana, porém, com forte teor autobiográfico, é um ponto de contato entre vários dos escritos de Dylan no período. “No caso do Tarântula, o narrador parece um cara doidão de ácido vendo Nova York e tentando relatar o que está passando”, diz Rogério. “Quase tudo gira em torno dessa ideia maluca que é viver amontoado com milhões de pessoas num espaço limitado.” A política - tema caríssimo ao período mais vigoroso da composição de Dylan - aparece de relance no romance, com a devoção que o compositor nutre pela música negra americana. Aretha é a primeira palavra de “Tarântula” - Leadbelly é outro artista referenciado o tempo todo. “A segregação racial aparece várias vezes.” “Esse é um tema bem recorrente na produção dele”, diz Caetano sobre a questão racial. “É muito louco: um judeu vindo da cena folk tão preocupado com isso. Em algum momento, ele parece quase obcecado. Como não poderia deixar de se esperar de uma pessoa inteligente nos EUA naquela época.” Caetano confessa que nunca foi um grande fã de Dylan, então o trabalho de tradução das letras foi também uma aproximação, que lhe permitiu perceber pérolas talvez negligenciadas ao longo do tempo. “Fiquei chocado com a variabilidade, em quanto ele nitidamente muda de projeto de um disco para o outro.” Duas ficaram marcadas: “Eternal Circle” (“Através de um disparo de luz / O rosto dela refletia / As palavras que logo sumiam / Ao correrem da minha língua / Com um olhar telescópico / Seus olhos estavam em chamas / Mas a canção era longa / E ainda havia o que cantar”); e “Visions of Johanna” (“Não é a cara da noite vir com truques quando você está tentando fazer tanto silêncio? / Estamos ali naufragados, apesar de fazer o melhor pra negar”). Essa é a terceira vez que os dois irmãos trabalham “juntos”: páginas de Beckett e Saul Bellow já passaram pelas suas mãos em conjunto. Dessa vez, foi coincidência. “O tradutor é um tipo bem específico de nerd”, diz Caetano - sua filha, Beatriz, de 19 anos, também já entrou no ramo. “A tradução literária é um lugar em que há uso para toda a cultura inútil que você acumulou durante a vida.” Rogério complementa, com um sorriso: “e os caras ainda pagam”.",,Irmãos Rogério e Caetano Galindo traduzem obras célebres de Bob Dylan
"[28/04/2017],[17h53]","A Praça da Espanha vai ser palco de muito jazz a céu aberto no feriadão. Entre os dias 29 de abril e 1.º de maio, o cartão postal de Curitiba e vai receber dez shows de música gratuitos, numa programação cultural e gastronômica. Toda essa mistura é o Batel Soho Jazz Festival criado pela Associação dos Comerciantes da Região da Praça da Espanha (Ascores). Desde 2008, a Praça da Espanha recebe eventos gastronômicos, mas é a primeira vez que o foco é cultural. “A  movimentação na região já é grande, nossa ideia é proporcionar uma experiência mais prazerosa para quem passa por lá e que possa animar toda a família, por isso teremos até atividades destinadas às crianças”, explica Othon Accioly, organizador do evento, que tem a expectativa de receber entre 7 e 10 mil pessoas, por dia.  Além de Derico & Na Tocaia, sobem ao palco da Praça Espanha Kadu Lambach, Raissa Fayet & Du Gomide, Beto Blues Trio, Marcelo Cigano trio e Jamy Savtchen. Os fãs saudosos de Amy Winehouse e David Bowie poderão curtir os tributos especiais apresentados pela cantora Ni Salles e pela banda Diamond Dogs. Os Metralhas trazem Beatles para pais e filhos.  
 Todos os dias, do 12h às 18h, a empresa Muralzinho de Ideias vai oferecer atividades gratuitas para crianças. Vai ter contação de histórias, oficina de circo e dança, teatro, fotografia e oficinas como a de pipas e criação de fantoches. 
 As empresas Fabiano Marcolini Alimentari, Clube do Malte, Brooklyn, Volken Pub, Jack Burgers, Aurora Bar e Nou Nikkei Cuisine estarão presentes comercializando diferentes pratos e bebidas durante todo o dia.  14h - Beto Blues  16h - Ni Salles (tributo a Amy Winehouse) 18h - Raíssa Fayet & Du Gomide 14h - Jazz Valente 16h - Kadu Lambach 18h - Metralhas (Beatles para pais e filhos) 19h - Diamond Dogs (Tributo a David Bowie) 14h - Marcelo Cigano Quarteto 16h - Jamy Savtchen 18h - Derico & Na Tocaia 12h30 às 13h30 – Literatura Contação de histórias com a escritora Cristiane Souza 13h30 às 15h30 – Artes Visuais Oficina de confecção de Pipas com Aladdin 15h30 às 16h30 – Dança Versão Pocket do espetáculo O Rei Leão com Espaço Artístico e Performance de Trio Contemporâneo com Cecconello Escola de Dança 16h30 às 17h30 – Circo Rafael Alípio e Ricardo Thomé apresentam: 2 ou 1 12h30 às 14h30 – Artes Visuais Oficina de Confecção de Fantoches de Saco de Papel com Raposa Caramelo 14h30 às 15h30 – Literatura Contação de histórias com Ailén Roberto 15h30 às 17h30 – Brincadeiras Pintura Facial, Macrame e Balão Sensorial com Mania de Cuidar 17h às 18h – Brincadeiras Brincadeiras Antigas com Gente que Brinca 12h às 14h – Artes Visuais Confecção de Instrumentos Musicais com materiais reciclados com Mamãe Retrô 14h às 15h – Circo Ilusionismo com Mágico Botura 15h às 17h – Fotografia Oficina Fotobrincante com UV Studio 17h às 18h – Teatro Shakespeare para Crianças com Atoss Cia de Artes Dramáticas",,De graça: Jazz na Praça da Espanha é programa para feriado
"[25/07/2018],[18h24]","O  diante do  , nesta quinta-feira (26), às 19h30, na Arena da Baixada, pelo primeiro jogo da segunda fase da Copa Sul-Americana. Para isso, o time uruguaio conta com um ‘reforço’ de peso para encara o Furacão:    O experiente jogador de 32 anos disputou a Copa do Mundo 2018 e ainda não voltou a atuar pelo Peñarol desde a eliminação do Uruguai na Rússia. Mas Cebolla Rodríguez voltou aos treinamentos na semana passada e está relacionado para a partida. No Mundial, ele disputou os cinco jogos com a Celeste, sendo um deles como titular.  
 
 
 A tendência é que Cebolla seja escalado onde melhor rende, aberto pelo lado esquerdo do ataque. O jogador é um ídolo e criado no clube de Montevideu -  ele possui uma grande tatuagem do escudo da equipe em uma das pernas, inclusive.  O veterano retornou há um ano e meio ao Peñarol e já marcou 23 gols em 50 partidas. No Brasil, ele teve uma passagem rápida pelo Grêmio, em 2015.  O  garante que não veio ao Brasil para se defender. “Somos um clube grande e temos que tratar de atacar. Não vamos jogar atrás como uma equipe pequena”, afirmou o treinador em entrevista coletiva. “Temos que estar concentrados. É uma equipe brasileira que acabou de trocar o técnico. Mas eles têm personalidade e gostam de tocar a bola”, analisa Lopez. Já o acredita que agressividade na marcação é a chave para sair de Curitiba com a vitória.  “Sabemos que equipes brasileiras são muito boas. Não podemos deixar eles ficarem com a bola. A marcação terá que ser em cima, não podemos deixar eles dominarem a bola com tranquilidade”, cobra o jogador.  O  no seu celular. Você pode receber mensagens instantâneas, via  , para ficar bem informado sobre tudo o que vai acontecer no Campeonato Brasileiro. Para receber diariamente as principais notícias, resultados e classificação, basta seguir os passos abaixo. É muito simples. Junte-se a nós no Brasileirão 2018!!!  
 * **",,Peñarol aposta na volta de ídolo que jogou a Copa para tentar encurralar Atlético
"[05/04/2019],[12h56]","O   joga a semifinal da Taça Dirceu Krüger, o segundo turno do Paranaense, contra o Rio Branco  na Arena da Baixada, às 16h deste sábado (6). As duas equipes decidem em jogo único quem irá disputar a final desta taça. Em caso de empate, a decisão vai para os pênaltis Após um primeiro turno decepcionante, o Furacão engrenou na segunda etapa do campeonato, vencendo quatro dos cinco jogos. Isso fez com que o Athletico tivesse a melhor campanha geral. Já o Rio Branco, que chegou a ficar na zona de rebaixamento, surpreendeu nas últimas quatro rodadas, com vitórias contra Paraná, FC Cascavel e Cianorte, além de um empate com o Coritiba.  “Nós vamos avaliar o Rio Branco em cima do que produziram nessa segunda parte do campeonato, assim como nós. Cada jogo tem sua história e queremos construir uma grande história neste sábado”, disse o técnico  atleticano Rafael Guanaes ao site oficial do clube. 
 A partida terá transmissão na internet pelo Live FC. A  acompanha o duelo em tempo real.  
 
 
 
 
 
 
 
 
 : Léo; Lucas Halter, Zé Ivaldo e Éder; Khellven, Christian, Erick, Marquinho e Vitinho; Jáderson e Bergson. Técnico: Rafael Guanaes. :  Ravel; João Antônio, Salazar e Erwin; Anderson Souza, Paulo Hernrique, Rodrigo Miranda, Willian e Jackson; Welissol e Bruno Andrade. Técnico: Norberto Lemos.  : Luiz Alexandre Fernandes, auxiliado por  Weber Felipe Silva e Adolfo Ferreira Borges – Todos os setores, exceto  VIP e Camarotes: R$ 50 a meia-entrada e R$ 100 a inteira – Setor VIP: R$ 175 a meia-entrada e R$ 350 a inteira 
 Vice-artilheiro do Paranaense, com cinco gols, ao lado do também atleticano Bergson e do paranista Jenison, Marquinho tem se destacado neste segundo turno. Diante da possibilidade do meia ser integrado ao elenco principal, que disputa a Libertadores, após o Estadual, vale a pena ficar de olho nele! 
 
 Você pode receber mensagens instantâneas, via WhatsApp, para ficar bem informado sobre tudo o que vai acontecer no Paranaense, Libertadores, Brasileirão, Recopa, Copa Suruga, Copa do Brasil e até alguns dos piores momentos dos rivais – assim como vídeos e fotos exclusivas de jogos e treinos. . É muito simples. Junte-se a nós na lista de transmissão de notícias do Furacão. Seja bem-vindo ao nosso grupo!",,"Tudo sobre Athletico x Rio Branco: ficha técnica, notícias, ingressos e como ver na internet"
,,,
,,,
"[25/05/2017],[20h15]","Brasília incendiou na quarta-feira (24), militares na rua fizeram arder feridas ainda abertas e mais uma vez vimos a desfaçatez de políticos e a arrogância dos agentes do mercado que querem nos impor suas vontades. Mas no mesmo dia um grupo de amigos se despediu feliz de um tal de James, já se preparando para reencontrá-lo em outro lugar; no mesmo dia uma menina Ana Clara foi encaminhada para fazer parte de uma nova família. O tempo presente muitas vezes causa indignação e nos oprime, mas sempre há as expectativas por coisas melhores. Por mudanças, nascimentos, reerguidas, ciclos que se fecham para dar início a outros. A   está em processo de mudança e na semana que vem encerrará as publicações diárias do jornal impresso. Com isso, essa coluna também se encerra.  Foram quase seis anos de textos semanais, falando sobre temas diversos de gestão pública de Curitiba, do Paraná, do Brasil. É difícil dizer adeus e ainda escolher um único assunto para finalizar minha participação como colunista.  Seguem então, alguns recados variados, de temas mais delicados neste momento de tanta tensão.  1- Pessoas queridas que querem um Brasil melhor via Diretas Já: compreendo suas angústias, mas acho que quanto menos mexer nos dispositivos legais agora vigentes, menos pior.  . De lá para cá, vi vários analistas reiterando o mesmo.  Nesta quinta-feira (25), a   publicou uma entrevista com o cientista político Fernando Abrucio, que em poucas palavras responde bem à pergunta sobre uma eleição indireta conduzida pela atual composição da Câmara dos Deputados: “É melhor termos um mandato tampão que prepare eleições com quatro ou cinco meses de campanha e de debate do que fazer eleições diretas correndo, sem tempo nem debate, e ficarmos com o mesmo Congresso. [...] Temos de compatibilizar legitimidade e estabilidade para termos boas eleições com amplo debate sobre a reconstrução do sistema político”. 2- Empresas, não rifem o Brasil pelas reformas. O governo de Michel Temer não tem mais sustentação, o que o segura são as reformas trabalhista e da Previdência, que tramitam no Senado e na Câmara dos Deputados, respectivamente. Empresas, deixem de lado esses assuntos e foquem no essencial: estabilidade política. A crise Michel Temer precisa de uma resolução rápida. Ah, mas as reformas são urgentes para o Brasil voltar a crescer. Que tal um intervalo de um mês? Isso causaria o caos? A resposta é não, considerando o discurso de que as mudanças são todas necessárias para a sustentabilidade e produtividade do país no longo prazo.  Aliás, poderíamos discutir mais a fundo se as reformas causarão os efeitos tão esperados na economia. Em maio de 2015, a   que mostra que a flexibilização das leis trabalhistas não incrementou os níveis de emprego nos países estudados e, em alguns países em que a regulamentação aumentou, o desemprego caiu. 3- A Reforma da Previdência é necessária para corrigir distorções, certamente, mas o lobby no Congresso gerou um texto injusto: mantém regalias para grupos privilegiados e prejudica a grande maioria dos trabalhadores comuns. Como já dito aqui, seria a maior reforma do estado de bem-estar social do país, e precisa ser melhor debatida. Não pode, não deveria ser conduzida a toque de caixa para que Temer (ou seja lá quem esteja no poder) use como escudo de legitimidade. 4- Deputados, tenham vergonha na cara. Se a impunidade era a regra, saibam que isso mudou, definitivamente.  5- Governantes em geral: respeitem o povo, tanto as pessoas que te idolatram no Facebook quanto os outros que, por dever de ofício, precisam fazer perguntas mais espinhosas. Os senhores bem sabem que foram eleitos para gerir de forma responsável, transparente e democrática.  6- Pessoas todas: boa sorte para definirmos os rumos do nosso país. ",,Não rifem o Brasil pelas reformas
"[29/05/2017],[20h00]","Depois de pelo menos 30 anos de desinteresse, ando às voltas, novamente, com a possibilidade de compra de um binóculo. A razão precípua desse desejo ótico renascido não é, como no passado adolescente, a de tentativas esdrúxulas de flagrar a vizinhança pelada ou cometendo crimes inconfessáveis junto à janela. O motivo, agora, é a muito mais nobre ciência da astronomia, cujo interesse levou-me e à patroa, há algumas semanas, a frequentar um curso para entusiastas das estrelas, satélites e outras bossas celestiais. Foi lá que aprendi, por exemplo, que comprar um binóculo astronômico é muito mais proveitoso, em termos financeiros e de uso pelo amador, do que adquirir uma luneta poderosa ou um telescópio-traquitana repleto de tripés, giroscópios, colares de graus e contrapesos. “Vai por mim: com um binóculo de qualidade e uma cadeira de praia com apoio para os braços, você vai esquadrinhar a lua melhor que o Galileu”, garantiu o professor responsável pelas aulas, antes de detalhar as mil e uma características do binóculo ideal e sugerir sua compra no Paraguai, sem o porcentual astronômico de impostos de praxe do lado de cá da fronteira.  Já me imagino correndo para as bandas de Campo Largo em um cair de tarde de céu azul Um binóculo, devo concordar, é muito menos charmoso que um telescópio, mas, se a ideia é ver estrelas e não devolver o equipamento à caixa e ao ocaso depois de tentar montá-lo sem sucesso, o negócio é deixar o romantismo de lado.  O próximo passo (enquanto escrevia esta crônica, aproveitei para comprar um ótimo aparelho “10x50” pela internet) é descobrir um lugar, por estas bandas, que permita examinar um céu limpo e livre da poluição luminosa.  Quanto às sempiternas nuvens curitibanas, pouco resta a fazer, a não ser espiar o cosmos – um salve a Carl Sagan – por entre as fímbrias de algodão. Em relação à luz e à escuridão, já me imagino correndo para as bandas de Campo Largo (Bateias, Colônia Dom Pedro II, saída para Campo Magro) em um cair de tarde de céu azul, num poético movimento de caçada ao pôr do sol que vai acabar lá, na estrada silenciosa e na cadeira de praia, diante de uma Via Láctea como nunca vi, de uma lua absolutamente memorável. E que, nesse dia, eu também possa ver asteroides, aglomerados e nebulosas, e até alguma coisa – na distância segura,   – que me leve a pensar em discos voadores. É numa dessas, enfim, que eu me filio ao clube de astronomia.  Com este texto, encerro minha participação como cronista nesta  .   ou algo como 775 mil caracteres, o equivalente a um livro bem fornido de histórias e reflexões, pelos quais agradeço imensamente. Vida longa!",,O binóculo astronômico
"[02/02/2018],[20h30]","
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Fazem sentido para mim estes versos da canção de Chico Buarque. Esta é a última coluna que escrevo para a  . É minha despedida aos leitores do jornal ao qual dediquei bem mais da metade de minha vida e exatamente no dia em que o jornal completa 99 anos de existência. Os tempos são outros e o ocaso é tão natural e tão infalível como o Sol que nasce e se põe. Nunca escrevi em primeira pessoa. Optei sempre pela linguagem impessoal - mas hoje é diferente. É dia de dizer um adeus pessoal à  . Iniciei aqui, neste jornal, minha jornada profissional em outubro de 1966, poucos meses antes da diplomação no curso de Jornalismo da Universidade Federal do Paraná (UFPR). Portanto, há 52 anos, num tempo em que as notícias nacionais e internacionais chegavam literalmente em código Morse e cheiro de chumbo derretido pelo velho Chripusko dominava todos os ambientes da sede da Praça Carlos Gomes, 4.  Este tempo equivale a mais da metade da vida do próprio jornal e dois terços da minha. Mal tinha completado 20 anos de idade quando subi pela primeira vez as escadas de mármore da velha casa. Cheguei tímido e inseguro. Três meses depois, porém, de estagiário, passei a contratado - graças a algo de que me orgulharei sempre: o reconhecimento pessoal do dr. Francisco Cunha Pereira Filho de que estava diante (talvez equivocadamente) de um jovem e promissor profissional. :  
 Como se fosse seu “pupilo”, era a mim que quase todos os finais de tarde, quando o jovem dr. Francisco (então com 39 anos), após passar por momentos de oração na capela da igreja do Bom Jesus, chegava ao jornal em seu Studbaker 1953, e costumeiramente me chamava à sua sala para passar orientações para a edição do dia seguinte. Eu apenas um mero repórter, um “foca”. De estagiário, passei a contratado - graças a algo de que me orgulharei sempre: o reconhecimento pessoal do dr. Francisco Cunha Pereira Filho Foi uma relação de confiança e de respeito – quase paternal e filial – que se prolongou durante todo o tempo em que o dr. Francisco esteve à frente do jornal e, em seguida, também como o empreendedor que comprou a  , em 1969, e a transformou no embrião da grande rede de televisão, afiliada à  , que domina a audiência no Paraná. Aos 23 anos, sempre pelas mãos do dr. Francisco, fui elevado à condição de Chefe de Reportagem numa redação povoada por veteranos jornalistas. Foi também por sua indicação que, em 1968, antes mesmo da aquisição formal do Canal 12, que ele me designou para, acumulando as funções na  , ser também redator de um telejornal que iniciaria a parceria entre jornal e tevê. Coincidências da vida, eu estava lá quando a  , em 1.º de setembro de 1969, lançou o   e coube a mim, naquele dia histórico, ser o primeiro repórter da primeira participação do Paraná na primeira edição do que viria a ser, em pouco tempo, o mais importante e influente telejornal da televisão brasileira. Após um intervalo de breves anos no serviço público, quando tive a honra de assessorar gestores do porte de Paulo Carneiro Ribeiro (Agricultura) e Belmiro Valverde Jobim Castor (Planejamento) e de ter convivência próxima com os governadores Jayme Canet Jr. e Ney Braga, voltei outra vez ao grupo   – sempre a convite do dr. Francisco, para desta feita atuar como Chefe de Reportagem, por dez anos, da  
 Os anos fora do grupo não foram desperdiçados. Serviram-me para conhecer o Paraná, seus problemas, seus desafios e compreender seus potenciais de desenvolvimento. Foi um aprendizado que ajuda até hoje para analisar os tantos governos que depois passaram diante do meu olhar crítico e absolutamente independente. Eis que terminada a fase no serviço público – do qual fui afastado por uma demissão por “não ser confiável” para o governante de então (apenas colaborei para denunciar um secretário de estado que conduzia operações financeiras não republicanas), fui convocado – eis a repetição: pelo dr. Francisco – para ser editorialista da  , isto é, para escrever textos que representassem a opinião do jornal e do seu próprio dono. Por breve tempo – cerca de quatro anos – fui também levado à Chefia de Redação do jornal e, desta função, e depois designado para, simultaneamente, voltar aos editoriais e assinar a coluna Política que levou meu nome ao longo dos últimos 12 conturbados anos. Graças à liberdade que me deu a direção da – já então já sob a chefia dos dois filhos de Francisco, Ana Amélia e Guilherme – pude dar vazão à minha veia crítica, sempre pautada pela independência, pelo apartidarismo, pela honestidade intelectual e pelo primado que me impus de adotar como linha mestra a defesa intransigente do que eu entendia ser de interesse público. Enfrentei poderosos, ajudei a desvendar fatos escusos, a denunciar culpados, a evitar negociatas... Esta linha valeu-me e ao jornal a conquista de impressionante público leitor. Valeu-me a conquista também de muitos amigos, mas, quem sabe, inversamente desproporcional ao número de inimigos. São incontáveis os processos judiciais que sofri, 95% reconhecidos pela Justiça como incabíveis, pois procurei nada mais fazer do que exercer o direito constitucional à crítica e à livre expressão do pensamento, calcado na verdade dos fatos, ainda que estes fossem contrários aos mandantes de ocasião que se consideraram ofendidos. Orgulho-me disso. Nunca acreditei em jornalismo anódino e insosso, assim como não acreditei na hipocrisia de ouvir previamente do outro lado respostas óbvias para safar-me de responsabilidades, como ensina um dos grandes mestres do Jornalismo brasileiro, o professor Carlos Alberto Di Franco. Enfrentei poderosos, ajudei a desvendar fatos escusos, a denunciar culpados, a evitar negociatas... Chegou a hora, porém, do descanso. Descanso para o jornal e para os leitores, já que suponho que minha presença entre os colunistas se tornava, a cada dia, visivelmente mais irrelevante e talvez inapropriada às modernas realidades digitais, às quais, como muitos outros veículos impressos, a  
 precisou aderir. Compreendo e aceito estes novos tempos. Aos 72 anos de idade, no entanto, o sangue de jornalista ainda corre quente nas minhas veias. Continuo dando-lhe vazão no site que preventivamente criei há seis meses, o  ( ). É nele que agora posso ser encontrado por quem se interessar possa. Por fim, apesar da metade arrancada de mim, como diz a poética de Chico Buarque, só tenho a agradecer a todos. Ao dr. Guilherme, à Ana Amélia, a todos os colegas de Redação, às muitas fontes às quais me mantive religiosamente fiel. E aos que me prestigiaram com sua paciente leitura.",,Hoje é dia de despedida. Metade afastada de mim
